responder,question,option,rank
3,2,Patient care responsibilities,1
3,2,Topics are not interesting,3
3,2,Not interested in residency activities,5
3,2,No perceived benefit for my position or career ladder advancement,4
3,3,Merit-based salary increase,2
3,3,Travel reimbursement for educational conferences,3
3,3,Reimbursement for other educational expenditures,4
3,3,Decreased number of student rotations to offset time spent on residency activities,1
2,1,No protected work time for residency projects,1
2,1,No research ideas,4
2,1,Not interested in precepting projects,6
2,1,Intimidated by degree of involvement,3
2,1,Disagree with processes of research subcommittee,2
2,1,No perceived benefit for clinical ladder advancement,5
2,2,Schedule conflicts with other meetings,2
2,2,Patient care responsibilities,1
2,2,Topics are not interesting,4
2,2,Not interested in residency activities,5
2,2,No perceived benefit for my position or career ladder advancement,3
2,3,Merit-based salary increase,3
2,3,Travel reimbursement for educational conferences,1
2,3,Reimbursement for other educational expenditures,2
2,3,Decreased number of student rotations to offset time spent on residency activities,4
1,1,No protected work time for residency projects,6
1,1,No research ideas,4
1,1,Not interested in precepting projects,2
1,1,Intimidated by degree of involvement,3
1,1,Disagree with processes of research subcommittee,1
1,1,No perceived benefit for clinical ladder advancement,5
1,2,Schedule conflicts with other meetings,4
1,2,Patient care responsibilities,5
1,2,Topics are not interesting,1
1,2,Not interested in residency activities,2
1,2,No perceived benefit for my position or career ladder advancement,3
1,3,Merit-based salary increase,2
1,3,Travel reimbursement for educational conferences,4
1,3,Reimbursement for other educational expenditures,3
1,3,Decreased number of student rotations to offset time spent on residency activities,1
